Ticker,Total Return,CAGR,Annualized Volatility,Sharpe Ratio,Sortino Ratio,Max Drawdown,Historical VaR 95% (Monthly),Beta vs SPY
SPY,0.7677361360807635,0.2091285613690652,0.12938412036441538,1.1968188628017236,2.3244310150257346,-0.07578420767982685,0.04791918353289801,0.9999999999999999
QQQ,0.9293674293405114,0.24491102826837663,0.17743768665009738,1.0784926086378797,2.21417013802168,-0.10084292961441266,0.05453024078434754,1.2634783811859112
IWM,0.614467757882017,0.17312185430799443,0.1967581114518562,0.684449836641662,1.19217911642828,-0.19016338217955198,0.06866079830127797,1.2373112504298682
EFA,0.6502304147465441,0.1817207525970943,0.11937368461340694,1.0933416553288164,1.7697595324749211,-0.08365212955878609,0.04050231119917913,0.6009743017381501
EEM,0.837674801206471,0.22486874644402266,0.15449141708874292,1.1098290931273678,2.0154141065880165,-0.09251525859299703,0.04979765054697757,0.7905124503874847
AGG,0.1274305555555555,0.040790374144783925,0.05661578107886929,-0.052335135130606,-0.07359271624322479,-0.04120370370370374,0.024890467999470756,0.2351827688524258
LQD,0.1440778799350999,0.04588803886752624,0.07848683464517638,0.042658067570276105,0.0645462073620547,-0.05884261763115195,0.031924452482110593,0.3731959351807635
HYG,0.26602870813397117,0.08180217743137286,0.04568412771746056,0.773303107826744,1.4775112398059584,-0.026475279106858096,0.01147003070813446,0.27360243079047325
GLD,1.2687479168981226,0.3140001492142217,0.18662218501066885,1.3318164837512025,2.379869906612607,-0.23849095607235138,0.06333227315827963,0.033960130496060593
VNQ,0.3183868762816129,0.09651427623763409,0.1676552479050351,0.36673572030238144,0.5689780786572982,-0.10622009569377999,0.0743052470820166,0.8770264167702791
